Gene	PMCC	TS500	MSKCC_IMPACT.curated	MSKCC_HEME	FoundationOne	FoundationHeme	TEMPUS	CancerGeneCensus_Tier1	OncoKB-Annotated	CancerGeneCensus_Tier2	az300	familial_cancer	TSGene2-tumour-suppressors	TSGene2-oncogenes
BRSK1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
BTG1	1	1	0	1	1	1	1	0	1	1	0	0	0	1
BTG2	0	0	0	0	0	1	0	0	0	0	0	0	1	0
BTG3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BTG4	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BTK	1	1	1	1	1	1	1	0	1	1	0	0	1	0
BTLA	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BUB1B	0	0	0	0	0	0	1	0	0	1	0	1	0	0
C11orf65	0	0	0	0	0	0	1	0	0	0	0	0	0	0
C15orf65	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C2orf40	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C2orf44	0	0	0	0	0	0	0	0	0	1	0	0	0	0
C3orf70	0	0	0	0	0	0	1	0	0	0	0	0	0	0
C8orf34	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CABLES1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CACNA1D	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CACNA2D3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CAD	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CADM1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CADM2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CADM3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CADM4	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CALR	0	1	1	1	1	0	1	0	1	1	0	0	0	0
CAMK2N1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CAMTA1	0	0	0	0	0	1	0	0	0	1	0	0	1	0
CANT1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CAPG	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CARD11	1	1	1	1	1	1	1	0	1	1	0	0	0	1
CARM1	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CARS	0	0	0	0	0	1	0	0	0	1	0	0	0	1
CASC1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CASC2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CASC5	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CASP2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CASP3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CASP5	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CASP8	1	1	1	1	0	0	1	0	1	1	0	0	1	0
CASP9	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CASR	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CAT	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CAT25	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CAV1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CAVIN3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CBFA2T3	0	0	0	0	0	1	0	0	0	1	0	0	1	0
CBFB	1	1	1	1	1	1	1	0	1	1	1	0	0	1
CBL	1	1	1	1	1	1	1	0	1	1	1	0	1	1
CBLB	0	0	0	0	0	0	1	0	0	1	0	0	0	0
CBLC	0	0	0	0	0	0	1	0	0	1	0	0	0	0
CBR3	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CBX5	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CCAR1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CCAR2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CCDC136	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CCDC154	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CCDC6	0	0	0	0	0	0	1	0	0	1	0	0	0	1
CCN6	0	1	0	0	1	1	0	0	0	0	0	0	0	0
CCNB1IP1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CCNC	0	0	0	0	0	0	0	1	0	0	0	0	1	0
CCND1	1	1	1	1	1	1	1	0	1	1	1	0	0	1
CCND2	1	1	1	1	1	1	1	0	1	1	1	0	0	0
CCND3	1	1	1	1	1	1	1	0	1	1	1	0	0	0
CCNDBP1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CCNE1	1	1	1	1	1	1	1	0	1	1	1	0	0	0
CCNL1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CCNQ	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CCR4	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CCR7	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CCT6B	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CD19	1	0	0	0	0	0	1	0	0	0	0	0	0	0
CD209	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CD22	0	0	0	0	0	1	1	0	0	0	0	0	0	0
CD274	1	1	1	1	1	1	1	0	1	1	0	0	0	0
CD276	0	1	1	0	0	0	0	0	1	0	0	0	0	0
CD28	0	0	0	1	0	0	0	1	1	0	0	0	0	0
CD33	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CD36	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CD4	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CD40	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CD44	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CD52	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CD58	0	0	0	1	0	1	0	0	1	0	0	0	0	0
CD70	0	0	0	0	0	1	1	0	0	0	0	0	0	0
CD74	0	1	0	0	0	0	0	0	0	1	0	0	0	0
CD79A	1	1	1	1	1	1	1	0	1	1	0	0	0	0
CD79B	1	1	1	1	1	1	1	0	1	1	0	0	0	0
CD82	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CDC42	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CDC73	1	1	1	1	1	1	1	0	1	1	0	1	1	0
CDCP1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CDH1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
CDH10	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CDH11	0	0	0	0	0	0	0	0	0	1	0	0	1	0
CDH13	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CDH17	0	0	0	0	0	0	0	1	0	0	0	0	1	0
CDH4	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CDH5	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CDK12	1	1	1	1	1	1	1	0	1	1	1	0	0	0
CDK2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CDK2AP1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CDK4	1	1	1	1	1	1	1	0	1	1	1	1	0	0
CDK6	1	1	1	1	1	1	1	0	1	1	1	0	1	0
CDK8	1	1	1	1	1	1	1	0	1	0	1	0	0	0
CDK9	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CDKN1A	1	1	1	0	1	0	1	1	1	0	1	0	1	0
CDKN1B	1	1	1	1	1	1	1	0	1	1	1	0	1	1
CDKN1C	0	0	0	0	0	0	1	0	0	0	0	1	1	0
CDKN2A	1	1	1	1	1	1	1	0	1	1	1	1	1	0
CDKN2B	1	1	1	1	1	1	1	0	1	0	1	0	1	0
CDKN2C	1	1	1	1	1	1	1	0	1	1	1	0	1	0
CDO1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CDT1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDX2	0	0	0	0	0	1	0	0	0	1	0	0	1	0
CEACAM1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CEBPA	1	1	1	1	1	1	1	0	1	1	1	1	1	0
CEBPD	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CENPA	0	1	1	0	0	0	0	0	1	0	0	0	0	0
CENPS	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CEP57	0	0	0	0	0	0	1	0	0	0	0	1	0	0
CEP89	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CFTR	0	0	0	0	0	0	1	0	0	0	0	0	1	0
CHCHD7	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CHD1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CHD2	1	1	0	0	1	1	1	1	0	0	0	0	0	0
CHD4	1	1	0	0	1	0	1	0	0	1	0	0	0	0
CHD5	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CHEK1	1	1	1	1	1	1	1	0	1	0	1	0	1	0
CHEK2	1	1	1	1	1	1	1	0	1	1	1	1	1	0
CHFR	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CHIC2	0	0	0	0	0	1	0	1	0	0	0	0	0	0
CHN1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CHST10	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CHST11	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CHUK	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CIC	1	1	1	1	1	1	1	0	1	1	0	0	1	0
CIITA	0	0	0	1	0	1	1	0	1	1	0	0	0	0
CITED2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CIZ1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CKS1B	0	0	0	0	0	1	1	0	0	0	0	0	0	0
CLDN1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CLDN23	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CLIP1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CLP1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
CLTC	0	0	0	0	0	1	0	0	0	1	0	0	0	0
CLTCL1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
CLU	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CMC4	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CMTM3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CMTM5	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CNBD1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CNBP	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CNDP2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CNN1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CNOT3	0	0	0	0	0	0	0	0	0	1	0	0	1	0
CNOT9	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CNTNAP2	0	0	0	0	0	0	0	1	0	0	0	0	1	0
CNTRL	0	0	0	0	0	1	0	0	0	1	0	0	0	0
COL1A1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
COL2A1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
COL3A1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
COMMD3-BMI1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
COP1	0	1	1	0	0	0	0	0	1	0	0	0	1	0
COPS2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
COX6C	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CPEB3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CPNE7	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CPS1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CRABP2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CRBN	0	0	0	1	0	0	0	0	1	0	0	0	0	0
CREB1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CREB3L1	0	0	0	0	0	1	0	0	0	1	0	0	1	0
CREB3L2	0	0	0	0	0	1	0	0	0	1	0	0	0	1
CREB5	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CREBBP	1	1	1	1	1	1	1	0	1	1	0	0	1	0
CREM	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CRIPAK	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CRK	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CRKL	1	1	1	1	1	1	1	0	1	0	1	0	0	0
CRLF2	1	1	1	1	1	1	1	0	1	1	0	0	0	1
CRNKL1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CRNN	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CRTC1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CRTC3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CSDE1	0	0	1	0	0	0	0	0	1	0	0	0	0	0
CSF1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CSF1R	1	1	1	1	1	1	1	1	1	0	0	0	0	1
CSF2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CSF3R	0	1	1	1	0	1	1	0	1	1	0	0	0	0
CSMD1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CSMD3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CSNK1A1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
CSNK2A1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CSNK2A3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CSRNP1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CST5	0	0	0	0	0	0	0	0	0	0	0	0	1	0
